sku,name,inv,ean,erli_pln,bl_retail_pln,multistore_pln,erli_vs_bl_pct,erli_vs_multistore_pct,flags,stock
4725,Stołek obrotowy z oparciem taboret kosmetyczny medyczny fotel regulowany biały M,MultiStore,5905817007523,109.0,109.0,109.0,100%,100%,LOSS,0
4726,Stołek obrotowy siodło taboret kosmetyczny medyczny fotel regulowany biały Moder,MultiStore,5905817007370,89.0,89.0,89.0,100%,100%,LOSS,0
4727,Stołek obrotowy taboret kosmetyczny medyczny fotel regulowany czarny ModernHome,MultiStore,5905817007387,93.0,93.0,93.0,100%,100%,LOSS,0
4728,Drewniany stół do masażu i rehabilitacji 3-segmentowy składany w walizkę + torba,MultiStore,5905817007417,350.0,350.0,350.0,100%,100%,LOSS,4
4729,Stołek obrotowy z oparciem taboret kosmetyczny medyczny fotel regulowany czarny ,MultiStore,5905817007516,135.0,135.0,135.0,100%,100%,LOSS,0
4730,Aluminiowy stół do masażu i rehabilitacji 3-segmentowy składany w walizkę + torb,MultiStore,5905817007431,370.0,370.0,370.0,100%,100%,LOSS,0
4731,Aluminiowy stół do masażu i rehabilitacji 2-segmentowy składany w walizkę + torb,MultiStore,5905817007424,340.0,340.0,340.0,100%,100%,LOSS,0
4732,Stołek obrotowy siodło taboret kosmetyczny medyczny fotel regulowany czarny Mode,MultiStore,5905817007363,99.0,99.0,99.0,100%,100%,LOSS,0
4733,Stołek obrotowy taboret kosmetyczny medyczny fotel regulowany czarny ModernHome,MultiStore,5905817007394,79.0,79.0,79.0,100%,100%,LOSS,33
4734,Mata piankowa dla dzieci edukacyjna dwustronna zwijana alfabet ECOTOYS,MultiStore,5905817007912,75.0,75.0,75.0,100%,100%,LOSS,0
4738,Gitara ukulele dla dzieci drewniana 4 struny nylonowe kostka do gry ECOTOYS,MultiStore,5905817007189,39.0,39.0,39.0,100%,100%,LOSS,12
4740,Drewniany ekspres do kawy dla dzieci zestaw baristy 8 elementów ECOTOYS,MultiStore,5905817007332,34.0,34.0,34.0,100%,100%,LOSS,34
4741,Kuchnia dla dzieci piekarnik pralka mikrofala 12 akcesoriów ECOTOYS,MultiStore,5905817007349,220.0,220.0,220.0,100%,100%,LOSS,23
4744,Stojak na ręczniki 4 szczeble - czarny,MultiStore,5903332086719,101.0,101.0,101.0,100%,100%,LOSS,0
4745,Stojak na ręczniki 4 szczeble - biały,MultiStore,5903332086733,101.0,101.0,101.0,100%,100%,LOSS,0
4746,Stojak na ręczniki 4 szczeble - złoty,MultiStore,5903332086726,102.0,102.0,102.0,100%,100%,LOSS,0
49,Wodny plac zabaw basen brodzik zjeżdżalnia INTEX 57453,MultiStore,6941057402499,210.0,210.0,210.0,100%,100%,LOSS,0
499,Wieszak stojak na ubrania podłogowy czarny ModernHome,MultiStore,5903089060956,69.0,69.0,69.0,100%,100%,LOSS,0
552,Materac welurowy do spania dwuosobowy dmuchany 203x152 cm INTEX 64103,MultiStore,6941057408378,55.0,55.0,55.0,100%,100%,LOSS,0
560,Basen ogrodowy z siedzeniami dmuchany 229x229 cm INTEX 56475,MultiStore,6941057454757,135.0,135.0,135.0,100%,100%,LOSS,0
561,Basen ogrodowy z siedzeniami 229x224 cm INTEX 57190,MultiStore,6941057451909,175.0,175.0,175.0,100%,100%,LOSS,0
